rent_price,house_area,year_from_built,distance,built_date,balcony_area,house_structure,floor,total_floor
89000.0,25.718724224917437,48,1040.0,1974-06-01,0.0,RC,4.0,4.0
99000.0,13.917514269051964,14,360.0,2008-01-01,0.0,RC,15.0,15.0
101000.0,25.882058230531154,3,960.0,2019-01-01,0.0,RC,2.0,9.0
199000.0,45.508821666139426,17,520.0,2005-10-01,0.0,RC,6.0,13.0
94000.0,19.96067700156977,10,920.0,2012-06-01,0.0,RC,1.0,7.0
105500.0,29.7772981327917,3,560.0,2019-06-01,0.0,RC,6.0,7.0
79100.0,26.75283534456492,16,240.0,2006-08-01,3.33,RC,6.0,14.0
90500.0,24.963334405696216,15,400.0,2006-12-01,4.41,RC,8.0,11.0
82000.0,22.496112104897005,14,1240.0,2008-02-01,0.0,RC,9.0,10.0
125300.0,41.21974728871246,15,880.0,2007-07-01,0.0,鉄骨,5.0,8.0
200000.0,54.99741944414459,11,520.0,2011-11-01,0.0,RC,12.0,14.0
73000.0,16.980926717332796,33,1360.0,1989-02-01,0.0,鉄骨,3.0,6.0
107000.0,18.75383403287477,6,400.0,2016-03-01,0.0,RC,5.0,10.0
110000.0,34.3451168089605,17,360.0,2004-12-01,0.0,RC,11.0,11.0
66000.0,32.87125923758212,44,1120.0,1978-09-01,0.0,鉄骨,4.0,4.0
193000.0,60.531928828319735,14,440.0,2007-12-01,0.0,RC,3.0,15.0
104000.0,24.709821422029368,8,280.0,2014-05-01,0.0,RC,12.0,13.0
114000.0,34.99347842688114,38,440.0,1984-03-01,0.0,RC,4.0,5.0
131000.0,41.22449179007083,14,1000.0,2008-04-01,0.0,RC,8.0,11.0
151000.0,37.61815267699166,5,960.0,2017-06-01,0.0,鉄骨,6.0,11.0
149000.0,36.919671999954204,16,440.0,2006-07-01,0.0,RC,7.0,10.0
70000.0,23.9178131711311,33,1000.0,1989-04-01,0.0,RC,3.0,9.0
114000.0,42.1340609321452,22,520.0,2000-08-01,0.0,鉄骨,2.0,5.0
106000.0,34.719305268808654,30,920.0,1992-04-01,0.0,鉄骨,4.0,6.0
85000.0,19.27823475664476,13,640.0,2009-07-01,0.0,鉄骨,4.0,6.0
98000.0,36.84973600798778,27,1240.0,1995-02-01,0.0,RC,2.0,3.0
255000.0,62.68224776308322,11,650.0,2011-04-01,11.0,RC,10.0,15.0
67000.0,17.57177899030032,38,760.0,1984-03-01,0.0,RC,4.0,4.0
84000.0,24.494184037005407,22,720.0,2000-11-01,0.0,RC,2.0,6.0
180000.0,39.47395233464792,6,440.0,2016-02-01,0.0,RC,10.0,10.0
105000.0,38.14393498027072,35,240.0,1987-05-01,0.0,鉄骨,3.0,7.0
88000.0,18.198623493275154,16,400.0,2006-10-01,0.0,RC,8.0,14.0
188000.0,47.2064624566135,15,720.0,2007-01-01,0.0,RC,8.0,11.0
81500.0,21.392832085101045,14,1160.0,2008-05-01,0.0,RC,3.0,8.0
135000.0,34.32804663075502,1,680.0,2021-09-01,0.0,RC,7.0,9.0
168000.0,57.75649802069937,9,600.0,2012-12-01,0.0,RC,12.0,14.0
81000.0,13.31822596732718,13,800.0,2009-01-01,0.0,RC,2.0,9.0
215000.0,40.08619363369784,0,720.0,2022-01-01,0.0,RC,5.0,7.0
97000.0,30.509437235815877,23,1040.0,1999-06-01,0.0,RC,4.0,6.0
69000.0,35.68515057188985,48,920.0,1974-04-01,0.0,RC,3.0,5.0
75000.0,17.39463454920538,13,560.0,2009-03-01,0.0,鉄骨,3.0,6.0
93000.0,23.28781525305278,17,400.0,2005-05-01,0.0,RC,7.0,11.0
96000.0,22.401128743846016,14,680.0,2008-04-01,0.0,RC,4.0,14.0
65000.0,18.957660785495527,41,840.0,1981-09-01,0.0,RC,4.0,7.0
87000.0,33.26203773694517,37,680.0,1985-08-01,0.0,鉄骨,4.0,4.0
88000.0,21.917254823026706,13,760.0,2009-04-01,0.0,RC,6.0,7.0
79000.0,28.562438180125444,14,320.0,2008-03-01,0.0,RC,2.0,11.0
145000.0,33.581516053107634,9,680.0,2013-04-01,0.0,RC,8.0,10.0
127000.0,24.97200662745061,3,280.0,2019-02-01,0.0,RC,4.0,14.0
115000.0,37.21121622915298,35,800.0,1987-07-01,0.0,RC,2.0,6.0
139000.0,24.576477456914628,30,800.0,1992-11-01,0.0,RC,10.0,13.0
102000.0,27.863099249720456,6,720.0,2016-03-01,0.0,RC,3.0,7.0
87500.0,25.405158505761325,18,760.0,2004-01-01,0.0,RC,9.0,12.0
105000.0,36.78758640185191,3,520.0,2018-12-01,0.0,RC,3.0,7.0
72000.0,18.64261834715883,32,600.0,1990-10-01,0.0,鉄骨,5.0,5.0
109000.0,30.935835713139873,38,720.0,1983-12-01,0.0,鉄骨,3.0,4.0
102000.0,24.99307288207426,7,600.0,2015-08-01,0.0,鉄骨,2.0,9.0
181000.0,36.43793116533457,13,440.0,2009-05-01,0.0,RC,5.0,28.0
85500.0,21.92855617899946,15,360.0,2007-05-01,5.39,RC,7.0,11.0
85000.0,26.008601868582755,15,840.0,2007-07-01,0.0,RC,7.0,7.0
160000.0,35.59241758604316,9,560.0,2013-05-01,0.0,RC,14.0,15.0
149000.0,38.37822771837638,5,1040.0,2017-08-01,0.0,鉄骨,3.0,11.0
118000.0,40.997698128880025,53,600.0,1969-06-01,0.0,RC,3.0,11.0
151000.0,41.444890194150325,10,840.0,2012-11-01,0.0,RC,7.0,7.0
141000.0,44.46587957033854,35,1040.0,1987-05-01,0.0,RC,7.0,12.0
62000.0,19.18252944601028,42,960.0,1980-02-01,0.0,鉄骨,2.0,4.0
83000.0,16.813638225243096,24,360.0,1997-12-01,2.0,RC,3.0,7.0
203000.0,71.41480494483329,17,520.0,2005-10-01,0.0,RC,8.0,13.0
177000.0,49.37372424044404,17,560.0,2005-06-01,0.0,RC,8.0,9.0
96000.0,20.526568058008948,17,680.0,2005-01-01,0.0,RC,5.0,12.0
133000.0,49.5624238685961,32,1960.0,1989-12-01,0.0,RC,2.0,10.0
79000.0,20.76668560553215,13,640.0,2008-12-01,0.0,RC,4.0,10.0
66000.0,10.932094966859832,18,800.0,2004-02-01,0.0,鉄骨,2.0,4.0
93000.0,48.11373685850788,26,680.0,1996-04-01,0.0,鉄骨,2.0,7.0
67000.0,13.466052747487296,33,680.0,1989-09-01,0.0,RC,2.0,11.0
87500.0,25.391815656584903,9,800.0,2013-04-01,0.0,RC,2.0,9.0
92000.0,26.857705377685157,14,680.0,2007-12-01,0.0,RC,7.0,14.0
110000.0,40.51456597132583,23,920.0,1999-03-01,0.0,RC,4.0,6.0
108000.0,35.2293415530504,13,920.0,2009-11-01,0.0,RC,6.0,7.0
121000.0,51.742167262164436,40,520.0,1982-07-01,0.0,鉄骨,2.0,5.0
98000.0,24.918275325299494,15,520.0,2007-01-01,0.0,RC,8.0,10.0
85000.0,32.67648698781694,33,720.0,1989-02-01,0.0,RC,6.0,10.0
144000.0,25.27136755734056,9,800.0,2013-08-01,0.0,RC,7.0,7.0
76000.0,29.138520076537233,35,880.0,1987-10-01,0.0,鉄骨,3.0,4.0
132000.0,69.24962717327794,23,840.0,1999-05-01,0.0,RC,2.0,8.0
70000.0,29.087208463921755,48,1000.0,1974-06-01,0.0,RC,3.0,5.0
105000.0,25.24197163336794,18,480.0,2004-02-01,0.0,RC,2.0,12.0
73000.0,29.980350369918007,44,680.0,1978-06-01,0.0,RC,4.0,5.0
108000.0,36.56607321570618,18,800.0,2004-05-01,0.0,RC,7.0,9.0
87200.0,31.400794430927014,8,880.0,2014-05-01,0.0,RC,3.0,9.0
98000.0,34.81609766568653,33,1360.0,1989-09-01,0.0,RC,3.0,5.0
79000.0,24.662323858023704,24,360.0,1998-01-01,0.0,RC,4.0,7.0
124000.0,63.554646182126746,23,1120.0,1999-01-01,0.0,RC,3.0,6.0
80000.0,19.2644498280499,34,360.0,1988-02-01,0.0,RC,5.0,12.0
154000.0,50.09259101850238,15,800.0,2007-03-01,0.0,RC,2.0,7.0
85000.0,18.79697723771204,49,360.0,1973-02-01,0.0,RC,4.0,9.0
151000.0,34.77070928427356,14,480.0,2008-03-01,0.0,RC,15.0,15.0
175000.0,81.05612667296198,33,600.0,1989-01-01,0.0,RC,7.0,12.0
93000.0,34.101226068053364,14,720.0,2008-10-01,0.0,鉄骨,1.0,3.0
100000.0,23.35207387499433,4,520.0,2018-03-01,0.0,RC,7.0,12.0
119000.0,48.2931066190004,48,880.0,1974-09-01,0.0,RC,9.0,11.0
98000.0,33.050134230822664,8,800.0,2014-03-01,0.0,RC,7.0,7.0
72500.0,30.126375419940526,39,720.0,1982-12-01,0.0,鉄骨,3.0,4.0
125000.0,42.46011942083388,22,560.0,2000-10-01,0.0,鉄骨,4.0,5.0
79000.0,14.113612644659304,22,800.0,2000-09-01,3.0,RC,4.0,10.0
115000.0,30.018481158794827,6,360.0,2015-12-01,0.0,RC,2.0,10.0
70000.0,30.24279909431662,40,480.0,1982-06-01,0.0,鉄骨,5.0,5.0
69000.0,19.697986445507894,27,1200.0,1995-01-01,0.0,RC,1.0,3.0
80000.0,33.69128415080761,41,320.0,1981-08-01,0.0,RC,4.0,5.0
103000.0,37.27823069794978,7,680.0,2015-09-01,0.0,RC,6.0,8.0
166000.0,33.435231017203506,39,440.0,1982-12-01,0.0,鉄骨,2.0,4.0
102000.0,29.021191213274424,6,800.0,2016-01-01,0.0,RC,6.0,7.0
169000.0,48.03078208050478,15,1040.0,2007-04-01,0.0,RC,10.0,12.0
80000.0,19.091764274724216,17,400.0,2005-04-01,0.0,RC,4.0,14.0
180000.0,70.41931538331049,2,760.0,2020-01-01,0.0,RC,10.0,15.0
67000.0,43.42492320350996,48,200.0,1974-10-01,0.0,RC,4.0,6.0
92500.0,18.80619662597823,7,600.0,2015-03-01,0.0,RC,3.0,12.0
98000.0,26.658664361111224,33,640.0,1989-03-01,0.0,RC,7.0,9.0
156000.0,43.22217564589965,20,200.0,2002-04-01,0.0,RC,4.0,12.0
72000.0,33.51623354770773,37,480.0,1985-06-01,0.0,鉄骨,3.0,5.0
80000.0,16.5440584784764,21,400.0,2001-01-01,0.0,RC,2.0,10.0
119000.0,43.88592674043055,38,560.0,1984-03-01,0.0,RC,2.0,5.0
139000.0,44.346986627734566,13,360.0,2009-03-01,0.0,RC,7.0,29.0
145000.0,42.79095955636906,6,800.0,2016-04-01,0.0,RC,3.0,9.0
101000.0,26.846105679568517,8,320.0,2014-01-01,0.0,RC,8.0,13.0
71000.0,19.094673556965272,21,200.0,2001-09-01,0.0,鉄骨,5.0,7.0
98000.0,32.05854682581092,9,520.0,2012-12-01,0.0,RC,2.0,3.0
99000.0,29.929365525690443,15,400.0,2007-11-01,0.0,RC,3.0,15.0
94000.0,18.729594316305405,15,1040.0,2007-04-01,0.0,RC,6.0,12.0
81000.0,23.387985382286608,22,440.0,2000-06-01,0.0,RC,6.0,10.0
148000.0,47.322129964884105,9,600.0,2013-07-01,0.0,RC,6.0,14.0
95500.0,32.00787619638289,9,840.0,2013-06-01,4.92,RC,3.0,13.0
74000.0,18.664319167180455,33,640.0,1989-03-01,0.0,鉄骨,2.0,4.0
159000.0,60.71418292240395,33,480.0,1989-04-01,0.0,RC,3.0,9.0
60000.0,27.516008316374425,28,1240.0,1994-11-01,0.0,RC,1.0,3.0
85000.0,39.54738049265194,49,640.0,1973-02-01,0.0,RC,4.0,6.0
62000.0,20.80000650290103,51,708.0,1971-11-01,0.0,RC,3.0,3.0
84000.0,23.803384185533663,30,720.0,1992-08-01,0.0,RC,6.0,12.0
88000.0,28.070098219521512,15,120.0,2006-12-01,0.0,RC,9.0,12.0
124000.0,31.615287194074842,19,720.0,2003-08-01,0.0,RC,3.0,6.0
51000.0,16.01976708423775,33,400.0,1989-10-01,0.0,鉄骨,2.0,4.0
98500.0,27.826499053802557,14,120.0,2008-02-01,0.0,RC,9.0,15.0
61000.0,32.1533334808619,49,640.0,1973-11-01,0.0,RC,4.0,5.0
124000.0,47.596915400732556,32,1000.0,1990-03-01,0.0,鉄骨,5.0,6.0
107000.0,35.271493675689754,20,1160.0,2002-09-01,0.0,鉄骨,3.0,3.0
66000.0,22.677559702690193,30,400.0,1992-05-01,0.0,鉄骨,2.0,4.0
100000.0,23.041289405970666,32,920.0,1990-04-01,0.0,鉄骨,6.0,6.0
88000.0,26.990150449821506,16,840.0,2006-07-01,0.0,RC,5.0,7.0
101500.0,25.350903213768298,11,840.0,2011-02-01,0.0,RC,9.0,12.0
78000.0,14.795910480069773,13,680.0,2009-01-01,0.0,RC,2.0,9.0
94000.0,22.058898443395066,9,640.0,2013-11-01,0.0,RC,2.0,14.0
175000.0,32.41533653781366,15,560.0,2007-03-01,0.0,RC,9.0,10.0
83000.0,22.490709607343504,15,880.0,2007-02-01,0.0,RC,5.0,8.0
162000.0,37.225062272098434,2,760.0,2020-08-01,0.0,RC,4.0,10.0
65000.0,30.3267390436296,40,480.0,1982-06-01,0.0,鉄骨,5.0,5.0
89000.0,14.293131033270571,18,360.0,2004-05-01,0.0,RC,3.0,12.0
79000.0,24.3673895153159,16,320.0,2006-09-01,0.0,RC,9.0,14.0
61000.0,20.298206549140385,36,1200.0,1986-10-01,0.0,鉄骨,2.0,3.0
101000.0,38.49291806451272,38,720.0,1984-01-01,0.0,RC,2.0,5.0
163000.0,38.99021645191369,16,760.0,2006-11-01,0.0,RC,9.0,12.0
113500.0,26.795064909444175,1,560.0,2021-08-01,0.0,RC,7.0,14.0
138000.0,46.38940559188809,6,520.0,2016-09-01,0.0,鉄骨,8.0,11.0
148000.0,60.170249410660695,31,880.0,1990-12-01,0.0,RC,6.0,7.0
192000.0,50.093105902669194,1,320.0,2021-03-01,8.64,RC,5.0,14.0
123000.0,31.013408386037685,11,600.0,2011-02-01,0.0,鉄骨,6.0,10.0
83000.0,19.774446512544746,14,800.0,2008-04-01,0.0,RC,2.0,12.0
97500.0,29.737750730223492,13,480.0,2009-08-01,0.0,RC,2.0,10.0
112500.0,38.224342139696965,12,920.0,2009-12-01,0.0,RC,4.0,6.0
70000.0,11.972765761907189,24,160.0,1997-12-01,0.0,鉄骨,3.0,5.0
70500.0,16.673748990440668,32,840.0,1990-02-01,0.0,RC,5.0,6.0
73000.0,20.50146852034473,21,240.0,2001-11-01,0.0,鉄骨,2.0,7.0
77000.0,26.76117882725245,38,880.0,1983-12-01,0.0,鉄骨,3.0,4.0
88000.0,31.29345320998515,5,720.0,2017-05-01,0.0,鉄骨,3.0,6.0
126000.0,41.383058236645525,14,960.0,2008-02-01,0.0,RC,8.0,11.0
157000.0,43.19870769724035,2,760.0,2020-01-01,0.0,鉄骨,1.0,6.0
90000.0,12.587415602345493,17,720.0,2005-01-01,0.0,RC,7.0,12.0
69000.0,29.26751909610004,25,720.0,1997-04-01,0.0,鉄骨,4.0,5.0
93000.0,24.62738015666168,10,640.0,2012-08-01,0.0,RC,8.0,14.0
81000.0,23.10230685494275,9,720.0,2013-01-01,0.0,RC,4.0,14.0
121000.0,27.497660596584133,15,520.0,2007-11-01,0.0,RC,13.0,13.0
93000.0,32.50910466718565,34,320.0,1988-03-01,0.0,RC,3.0,6.0
96500.0,14.804788789498955,5,800.0,2017-03-01,0.0,鉄骨,3.0,7.0
85000.0,21.80808246874495,14,1840.0,2008-03-01,0.0,RC,7.0,9.0
108500.0,23.77771031294742,15,160.0,2007-10-01,0.0,RC,7.0,15.0
182000.0,60.81267876635651,15,400.0,2007-08-01,0.0,RC,14.0,14.0
110000.0,32.26682742312148,24,360.0,1997-12-01,0.0,RC,5.0,10.0
85000.0,22.723608421479383,14,1240.0,2008-07-01,0.0,RC,3.0,7.0
98000.0,25.438566527323196,5,720.0,2017-02-01,0.0,RC,7.0,9.0
160000.0,51.11002594898435,14,600.0,2008-01-01,0.0,RC,11.0,14.0
82000.0,30.156896835157834,25,400.0,1997-03-01,0.0,鉄骨,4.0,8.0
86000.0,23.656265396097723,15,280.0,2007-01-01,0.0,RC,10.0,10.0
100000.0,37.99782353190412,15,680.0,2007-08-01,0.0,RC,6.0,6.0
98000.0,31.129479388542347,8,800.0,2014-11-01,4.8,RC,7.0,7.0
105000.0,17.2004662725352,8,280.0,2014-04-01,0.0,RC,5.0,13.0
97000.0,29.012972666366117,15,520.0,2007-03-01,0.0,RC,5.0,10.0
104000.0,22.519951240779694,8,360.0,2014-02-01,0.0,RC,5.0,13.0
67000.0,11.422880788206097,34,720.0,1988-05-01,0.0,鉄骨,3.0,4.0
90000.0,31.087406834266396,11,840.0,2011-01-01,0.0,RC,2.0,5.0
84000.0,21.450114267033587,26,400.0,1996-04-01,0.0,RC,10.0,10.0
65000.0,19.81892274379651,36,720.0,1986-05-01,0.0,RC,3.0,9.0
79600.0,18.273415202069934,13,880.0,2009-02-01,0.0,RC,4.0,8.0
79000.0,19.909298334633434,40,560.0,1982-11-01,0.0,鉄骨,3.0,4.0
93000.0,25.67727559313312,15,400.0,2007-11-01,0.0,RC,5.0,13.0
107000.0,29.587151986829994,30,880.0,1992-05-01,0.0,鉄骨,4.0,6.0
184000.0,41.892146838245296,14,400.0,2008-05-01,0.0,RC,12.0,15.0
93000.0,32.115482041827654,13,520.0,2009-01-01,0.0,RC,8.0,10.0
126000.0,37.568068187688965,34,680.0,1988-06-01,0.0,RC,6.0,6.0
97000.0,30.687508149396635,4,520.0,2018-10-01,0.0,RC,2.0,7.0
81000.0,27.289843229426566,7,800.0,2015-09-01,0.0,RC,3.0,5.0
101000.0,15.201695325025284,4,880.0,2018-05-01,0.0,RC,5.0,5.0
86500.0,22.524543847775476,18,440.0,2004-03-01,0.0,RC,10.0,12.0
57000.0,18.058739032634307,40,600.0,1982-01-01,0.0,RC,1.0,6.0
112000.0,40.65152649796764,32,680.0,1990-01-01,0.0,RC,4.0,5.0
110000.0,30.97156342681526,34,1480.0,1988-07-01,0.0,RC,2.0,5.0
151000.0,62.46809575777081,14,480.0,2008-03-01,0.0,RC,14.0,15.0
76000.0,20.41168449898086,33,720.0,1988-12-01,0.0,RC,5.0,7.0
112000.0,26.534049877629673,30,880.0,1992-03-01,0.0,鉄骨,2.0,6.0
60000.0,13.093046835742909,22,320.0,2000-03-01,0.0,RC,6.0,9.0
78000.0,22.592386238235104,13,640.0,2008-12-01,0.0,鉄骨,3.0,3.0
95000.0,21.814973136179862,8,600.0,2014-07-01,0.0,RC,4.0,13.0
102000.0,16.04550966887831,9,560.0,2013-02-01,0.0,RC,10.0,15.0
77000.0,28.075689247333884,35,320.0,1987-10-01,0.0,鉄骨,4.0,5.0
147000.0,87.31112632650051,32,880.0,1990-11-01,0.0,RC,3.0,7.0
113000.0,36.36457547304035,10,680.0,2012-02-01,0.0,RC,10.0,14.0
193000.0,38.66126452424293,2,760.0,2019-12-01,0.0,鉄骨,6.0,6.0
65000.0,10.499251920941553,22,400.0,2000-04-01,0.0,RC,5.0,9.0
86800.0,16.401545000556567,14,1200.0,2008-09-01,0.0,RC,4.0,7.0
103000.0,23.1460690342021,9,640.0,2013-09-01,0.0,RC,5.0,14.0
92000.0,26.51662649810406,7,520.0,2015-02-01,0.0,RC,6.0,12.0
103000.0,26.530177491078593,7,600.0,2015-11-01,0.0,鉄骨,8.0,9.0
158000.0,43.64187574510621,20,280.0,2002-02-01,0.0,RC,10.0,12.0
81000.0,30.69531723376392,13,1160.0,2009-09-01,0.0,鉄骨,1.0,4.0
91000.0,20.699345169660614,6,760.0,2016-01-01,2.0,RC,4.0,7.0
290000.0,66.01911896769813,16,200.0,2006-04-01,6.0,RC,32.0,45.0
104000.0,24.061552262086312,6,360.0,2016-02-01,0.0,RC,6.0,10.0
120000.0,45.08549743130003,29,640.0,1993-03-01,0.0,RC,1.0,12.0
72000.0,23.355658983596864,32,440.0,1990-09-01,0.0,RC,4.0,9.0
163000.0,56.84017298462217,9,680.0,2013-01-01,0.0,RC,4.0,10.0
165000.0,44.954645527661036,2,800.0,2020-04-01,0.0,RC,6.0,7.0
95000.0,39.51061642704733,33,520.0,1988-12-01,0.0,RC,4.0,7.0
184000.0,51.1530901421597,14,680.0,2008-02-01,0.0,RC,11.0,14.0
180000.0,73.03594377489516,25,800.0,1997-10-01,0.0,RC,7.0,11.0
147000.0,47.54398050115892,7,360.0,2015-06-01,0.0,RC,10.0,14.0
137000.0,50.012112005011375,11,1000.0,2011-02-01,0.0,RC,6.0,12.0
165000.0,64.4235242863243,15,320.0,2006-12-01,0.0,RC,13.0,14.0
81000.0,23.03031317941738,29,640.0,1993-11-01,0.0,RC,4.0,12.0
192000.0,53.77081317425542,17,320.0,2005-01-01,0.0,RC,13.0,15.0
66000.0,19.640066295823708,51,800.0,1971-06-01,0.0,RC,5.0,5.0
106000.0,39.12837835013421,31,1440.0,1991-05-01,0.0,鉄骨,2.0,6.0
104000.0,21.14574550224686,14,360.0,2007-12-01,0.0,RC,11.0,15.0
94000.0,35.05416687490081,44,360.0,1978-02-01,0.0,RC,6.0,8.0
85000.0,20.209555665012864,11,840.0,2011-10-01,0.0,RC,3.0,9.0
134000.0,34.40012692308587,10,840.0,2012-08-01,0.0,RC,5.0,7.0
88000.0,23.88337753432815,18,280.0,2003-12-01,0.0,鉄骨,3.0,9.0
82000.0,19.18490879403222,18,320.0,2004-03-01,0.0,鉄骨,4.0,4.0
87000.0,25.50085689233428,34,800.0,1988-03-01,0.0,RC,5.0,6.0
154000.0,81.34583472389448,26,600.0,1996-05-01,0.0,RC,7.0,10.0
71000.0,12.376950450880342,26,480.0,1996-01-01,0.0,鉄骨,2.0,6.0
97000.0,28.329235648549005,14,120.0,2008-01-01,0.0,RC,8.0,15.0
85000.0,14.39281937774157,13,1080.0,2009-02-01,0.0,RC,2.0,10.0
74000.0,14.671479002017012,14,680.0,2008-03-01,0.0,鉄骨,2.0,3.0
87000.0,27.66396480108058,14,480.0,2008-02-01,0.0,RC,4.0,13.0
71000.0,18.232779591564434,33,400.0,1989-01-01,0.0,鉄骨,4.0,7.0
