property_id,station_id,distance,house_area,rent_price,total_floor,floor,built_date,house_structure
169,32,320,25,108000,10,2,2011-12-01,RC
170,74,80,28,81500,9,6,1988-05-01,RC
171,5,880,47,176000,40,27,2005-08-01,RC
172,91,1480,14,34000,3,3,1989-09-01,鉄骨
173,35,1080,56,136500,12,9,2010-12-01,RC
174,85,600,41,115000,4,2,1986-07-01,RC
175,59,720,43,88000,5,1,2008-01-01,RC
176,95,640,22,108000,5,1,1992-04-01,RC
177,85,320,10,87000,11,7,2010-12-01,RC
178,96,840,18,69000,3,3,1985-05-01,鉄骨
179,30,734,32,76000,4,4,1976-07-01,RC
180,22,1160,17,73000,5,4,1996-01-01,鉄骨
181,54,360,29,136000,8,6,2003-03-01,RC
182,40,880,18,77000,3,3,1979-10-01,鉄骨
183,99,720,21,68000,6,2,1992-06-01,RC
184,83,800,20,135000,13,2,2009-06-01,RC
185,18,840,40,155000,15,3,1981-10-01,RC
186,22,1680,53,124000,4,4,1993-02-01,RC
187,74,1040,53,161000,5,1,1995-03-01,RC
188,30,320,21,52000,4,4,1989-09-01,鉄骨
189,50,360,32,74000,3,1,1979-01-01,鉄骨
190,50,360,46,83000,6,2,1987-01-01,RC
191,96,1120,26,85000,3,3,2014-12-01,鉄骨
192,43,640,23,146000,5,1,2018-04-01,RC
193,95,1520,103,100000,5,2,1988-01-01,RC
194,23,280,24,93000,11,6,2004-10-01,RC
195,2,1000,35,79500,15,7,2007-04-01,RC
196,90,480,21,90500,8,5,2006-09-01,RC
197,37,800,34,99000,9,3,2002-08-01,RC
198,46,400,33,134000,5,3,1986-06-01,RC
199,21,600,41,144000,7,7,2006-11-01,RC
200,19,1960,85,132000,3,2,1988-03-01,RC
201,18,240,15,103000,12,7,2002-07-01,RC
202,20,560,71,287000,13,10,1994-05-01,RC
203,10,640,17,83000,11,6,2017-12-01,RC
204,83,120,25,72000,10,8,1997-11-01,RC
205,72,1280,9,52000,4,3,1984-11-01,鉄骨
206,74,1240,44,87000,4,4,1988-03-01,RC
207,60,1000,60,146000,4,2,1978-07-01,RC
208,38,880,57,145000,5,4,1987-03-01,RC
209,44,760,29,94000,3,3,1993-02-01,鉄骨
210,18,680,58,183000,9,4,1997-11-01,RC
211,2,1080,70,101000,5,3,1990-04-01,RC
212,28,360,61,129000,14,4,2020-03-01,RC
213,16,680,45,78000,3,2,1995-10-01,RC
214,35,720,34,92000,5,5,1974-03-01,RC
215,45,840,27,103000,3,3,1988-12-01,鉄骨
216,22,760,48,150000,3,1,1994-12-01,RC
217,32,1080,50,77000,3,1,1995-04-01,RC
218,32,1400,52,87000,3,3,1996-04-01,RC
219,96,280,79,123000,5,5,1983-02-01,RC
220,17,400,94,531000,37,31,2019-01-01,RC
221,74,680,20,74000,8,5,2003-04-01,RC
222,28,880,15,79000,9,7,1988-10-01,RC
223,35,480,23,76000,9,3,2003-03-01,RC
224,18,600,45,130000,7,6,1979-09-01,RC
225,21,320,57,215000,12,12,2007-08-01,RC
226,59,1000,64,126000,4,3,1994-11-01,RC
227,17,80,23,105000,14,6,2006-09-01,RC
228,7,480,68,287000,12,5,2020-01-01,RC
229,44,200,34,102000,2,1,1995-07-01,鉄骨
230,19,1000,32,66000,3,2,1969-05-01,RC
231,16,800,52,89000,3,3,1989-02-01,鉄骨
232,54,800,40,147000,8,6,2003-04-01,RC
233,12,400,24,102500,10,3,2016-07-01,RC
234,72,360,38,85000,16,3,2010-06-01,RC
235,59,920,21,59000,4,1,1987-08-01,RC
236,99,680,43,81000,3,2,1972-10-01,RC
237,99,480,35,101000,12,9,2016-07-01,RC
238,9,600,21,94000,11,6,2002-02-01,RC
239,96,1120,29,125000,5,4,1989-05-01,RC
240,6,280,67,264000,15,13,1990-10-01,RC
241,20,920,45,116000,4,4,1966-05-01,RC
242,28,480,46,123000,6,6,1988-12-01,RC
243,12,720,23,101000,5,2,2004-02-01,RC
244,52,1680,73,71500,5,2,1993-02-01,RC
245,2,440,44,98000,5,1,1988-05-01,RC
246,50,440,19,85000,11,1,2003-12-01,RC
247,19,920,36,149000,4,1,1988-02-01,RC
248,50,480,57,101000,4,2,1989-03-01,鉄骨
249,7,520,37,208000,14,12,2005-12-01,RC
250,22,360,38,127000,10,4,2016-05-01,RC
251,83,720,23,63000,4,4,1991-04-01,RC
252,7,1280,9,74000,14,12,1981-10-01,RC
253,10,800,29,70000,4,1,1982-10-01,鉄骨
254,67,400,28,75000,3,2,1993-04-01,RC
255,85,1120,32,79000,3,1,2018-01-01,鉄骨
256,28,880,21,65000,3,1,1970-08-01,鉄骨
257,95,240,81,94000,4,1,1994-05-01,RC
258,20,520,11,104000,14,8,2004-04-01,RC
259,52,1080,13,47000,3,3,1995-03-01,RC
260,60,320,27,81000,11,10,1982-08-01,RC
261,67,240,11,71000,7,2,1992-11-01,RC
262,29,560,55,269000,22,8,2008-02-01,RC
263,32,680,73,105000,4,3,2014-01-01,RC
264,99,840,15,61000,5,2,1979-10-01,RC
265,99,80,50,131000,10,8,1975-03-01,RC
266,91,1280,81,106000,5,3,1990-05-01,RC
267,60,800,32,65000,5,3,1966-10-01,RC
268,35,80,24,79000,8,6,1978-12-01,RC
269,65,760,58,181000,8,7,1970-08-01,RC
270,19,880,32,105000,6,3,2001-02-01,RC
271,35,1120,27,81000,7,3,2009-02-01,RC
272,35,600,44,167000,14,9,2012-08-01,RC
273,60,680,11,77000,13,2,1998-10-01,RC
274,96,360,45,164000,6,3,2011-02-01,RC
275,12,640,5,71000,13,7,1985-03-01,RC
276,35,800,21,106000,7,4,2012-06-01,RC
277,59,1240,31,104000,11,7,2003-09-01,RC
278,19,840,50,132000,4,4,2014-03-01,RC
279,18,920,78,192000,12,3,2016-11-01,RC
280,2,1160,14,81000,4,3,2001-01-01,RC
281,2,480,51,147000,12,8,1984-08-01,RC
282,9,680,42,156500,9,4,2015-07-01,RC
283,17,640,23,103500,13,7,2013-01-01,RC
284,28,560,44,109000,5,2,1993-06-01,RC
285,13,2360,30,108000,14,3,2009-08-01,RC
286,37,800,32,152000,13,12,2005-11-01,RC
287,5,360,13,89000,6,2,1998-08-01,RC
288,100,720,29,111000,6,5,1988-10-01,RC
289,45,880,29,88000,9,8,2014-12-01,RC
290,60,320,47,152000,10,10,2009-07-01,RC
291,45,1320,29,60000,3,1,1990-01-01,鉄骨
292,7,680,13,109000,14,4,2005-12-01,RC
293,6,400,46,148000,10,3,2004-11-01,RC
294,36,440,43,88000,15,5,2005-01-01,RC
295,2,520,29,63000,8,8,1981-04-01,RC
296,10,1000,50,77000,4,1,1970-08-01,鉄骨
297,12,640,31,97000,12,2,2005-05-01,RC
298,72,560,26,74000,6,2,1985-10-01,RC
299,10,1040,29,115000,15,5,1994-07-01,RC
300,44,120,28,82500,5,4,2007-11-01,RC
301,91,1240,42,110000,5,4,1990-05-01,RC
302,83,360,48,141000,12,6,2005-03-01,RC
303,5,880,12,55000,12,6,1985-04-01,RC
304,1,800,30,127000,12,3,2014-11-01,RC
305,35,960,25,80000,4,2,2001-04-01,鉄骨
306,74,800,23,79000,4,3,2005-12-01,RC
307,85,960,22,86000,13,11,2011-03-01,RC
308,20,720,58,135000,3,2,1994-03-01,RC
309,21,840,24,66000,4,3,1989-02-01,RC
310,18,680,30,175000,9,4,2012-05-01,RC
311,28,1120,28,78000,4,4,1987-04-01,鉄骨
312,16,800,39,113000,4,3,2010-03-01,鉄骨
313,22,2160,33,81000,2,2,2008-02-01,鉄骨
314,9,1120,35,101000,15,2,2003-09-01,RC
315,16,800,22,63000,6,3,1993-05-01,鉄骨
316,50,360,32,87000,4,4,2012-08-01,RC
317,44,840,20,63000,3,2,1987-04-01,鉄骨
318,48,560,18,89000,7,1,2004-07-01,RC
319,67,200,15,53500,3,3,1967-01-01,RC
320,14,560,41,135000,20,3,1998-12-01,RC
321,29,520,48,224000,25,1,2007-11-01,RC
322,20,280,22,111000,12,3,2003-07-01,RC
323,90,160,41,138000,10,7,1980-01-01,RC
324,96,760,24,146000,5,4,2001-05-01,RC
325,52,80,14,43000,3,3,1985-02-01,鉄骨
326,2,1080,18,84000,3,3,2001-07-01,RC
327,54,360,22,108000,8,4,2016-08-01,RC
328,100,440,54,123000,3,1,1987-01-01,鉄骨
329,48,1360,23,88000,14,8,2005-06-01,RC
330,7,960,16,118000,10,3,2013-08-01,RC
331,35,480,19,84000,10,7,2003-02-01,RC
332,29,1000,16,97000,8,7,2006-04-01,RC
333,45,360,24,114000,14,8,2007-05-01,RC
334,99,320,35,115000,7,7,2007-10-01,RC
335,13,800,30,75000,4,4,1978-12-01,RC
336,45,880,11,91000,7,6,2006-09-01,RC
337,100,1120,40,78000,3,2,2011-06-01,鉄骨
338,38,1240,32,85000,5,3,2010-08-01,鉄骨
339,10,560,17,61000,4,3,1985-03-01,鉄骨
340,35,560,24,62000,6,6,1983-02-01,RC
341,9,560,20,87000,11,2,2001-11-01,RC
342,69,400,26,68000,3,2,1993-02-01,鉄骨
343,29,840,12,82000,10,5,1996-12-01,RC
344,83,520,16,93000,10,10,2007-04-01,RC
345,48,320,30,115000,11,9,1978-09-01,RC
346,85,360,22,82000,4,2,2003-08-01,鉄骨
347,85,120,24,97000,10,10,1976-02-01,RC
348,50,840,86,183000,7,7,1996-01-01,RC
349,65,760,32,110000,3,2,1997-11-01,RC
350,85,160,30,89000,11,10,2011-10-01,RC
351,67,840,46,117000,3,1,1989-08-01,RC
352,35,440,12,82000,7,4,1998-05-01,RC
353,40,1120,56,105000,4,1,1989-03-01,RC
354,67,240,17,46000,12,12,1985-05-01,RC
355,32,440,68,96000,3,1,1997-02-01,RC
356,40,760,52,121500,11,10,2011-09-01,RC
357,52,720,17,74000,3,3,2019-04-01,鉄骨
358,50,1080,37,93500,8,5,2008-09-01,RC
359,18,440,66,147000,10,3,1980-12-01,RC
360,22,480,13,63000,3,1,1995-03-01,RC
361,29,1480,30,124000,7,6,2001-03-01,RC
362,28,280,27,205000,10,4,2018-04-01,RC
363,100,920,35,71000,3,1,1991-02-01,鉄骨
364,18,1040,58,174000,14,3,1997-12-01,RC
365,37,640,31,126000,15,5,2006-03-01,RC
366,67,640,27,83000,3,2,1999-04-01,鉄骨
367,14,240,22,75000,4,2,1989-10-01,RC
368,32,1080,84,102000,3,1,1994-02-01,RC
369,12,1040,14,77000,8,1,2005-03-01,RC
370,67,1840,49,95000,3,3,1987-11-01,鉄骨
371,6,280,39,208000,18,14,2007-12-01,RC
372,13,480,45,106000,10,7,2007-02-01,RC
373,21,1080,24,114500,4,3,2019-12-01,RC
374,91,1080,20,42000,3,2,1997-05-01,鉄骨
375,30,800,27,75000,3,2,1990-06-01,RC
376,45,760,46,125710,8,1,1981-04-01,RC
377,1,600,13,98000,14,4,2006-01-01,RC
378,6,760,23,85000,4,2,1975-03-01,RC
379,50,840,34,95000,3,1,1972-11-01,RC
380,12,480,22,146000,14,6,2008-12-01,RC
381,50,680,48,95000,3,3,1972-01-01,RC
382,12,560,29,114000,15,14,2007-06-01,RC
383,65,600,15,96000,9,8,2005-11-01,RC
384,100,840,16,72000,5,3,1996-06-01,鉄骨
385,67,120,73,105000,3,2,1990-12-01,鉄骨
386,23,1000,89,278000,5,3,1999-12-01,RC
387,43,560,18,81000,3,1,2006-11-01,その他
388,60,120,36,110000,6,4,2008-06-01,RC
389,83,720,41,130000,22,3,2009-02-01,RC
390,96,680,19,70000,2,1,1978-01-01,その他
391,22,600,22,64000,3,2,1991-09-01,鉄骨
392,44,640,29,109000,4,3,1988-04-01,RC
393,2,960,19,75000,14,4,1999-01-01,RC
394,52,1160,33,56000,3,3,1970-05-01,RC
395,60,640,34,87000,10,6,2002-04-01,RC
396,20,480,30,143000,10,2,1994-10-01,RC
397,45,600,18,94000,11,5,2015-09-01,RC
398,40,640,47,107500,9,5,2011-05-01,RC
399,20,960,49,179000,9,6,2005-01-01,RC
400,6,720,12,101000,8,5,2000-03-01,RC
401,12,1200,48,154000,7,7,2009-11-01,RC
402,37,760,23,126000,10,7,2007-10-01,RC
403,35,800,47,131000,10,7,2011-03-01,RC
404,1,960,21,67000,3,1,1998-11-01,RC
405,19,720,31,113000,8,3,2020-10-01,RC
406,5,520,40,131000,6,4,2008-04-01,RC
407,44,120,37,79000,4,3,1976-04-01,RC
408,18,840,34,173000,48,4,2008-06-01,RC
409,23,1040,24,201000,6,2,2008-07-01,RC
410,23,640,29,102000,5,5,2006-09-01,RC
411,30,360,12,64000,9,6,1993-01-01,RC
412,13,320,25,97500,11,2,2010-06-01,RC
413,1,680,12,66000,5,2,1984-12-01,RC
414,5,280,34,137760,12,4,2009-05-01,RC
415,60,80,27,96000,12,5,1982-08-01,RC
416,35,1000,22,92000,4,2,1997-09-01,RC
417,59,1080,47,111000,3,3,1993-04-01,RC
418,96,560,26,66000,3,2,1987-01-01,鉄骨
419,96,440,12,58000,4,4,1985-03-01,RC
420,40,280,43,145000,13,13,2013-10-01,RC
421,50,80,17,100000,8,4,2004-05-01,RC
422,35,680,38,83000,8,6,1991-03-01,RC
423,21,640,49,141000,4,4,1987-11-01,RC
424,14,400,25,109000,15,5,2013-12-01,RC
425,99,800,21,84000,2,2,2002-08-01,鉄骨
426,28,516,34,157000,5,2,1988-10-01,鉄骨
427,28,520,34,90000,4,4,1992-04-01,鉄骨
428,48,600,29,94000,12,11,1997-03-01,RC
429,9,1160,29,118000,4,3,2018-07-01,RC
430,52,800,37,65000,4,2,2004-10-01,RC
431,50,480,33,108000,2,1,2016-03-01,鉄骨
432,23,920,27,102000,14,9,2006-10-01,RC
433,10,80,59,81000,6,4,1989-01-01,RC
434,1,240,30,99000,4,3,1988-03-01,RC
435,45,1040,31,86000,8,3,2011-10-01,RC
436,46,1019,30,90000,5,3,1989-09-01,RC
437,59,840,29,101000,10,4,2005-03-01,RC
438,21,320,24,87000,15,5,2009-01-01,RC
439,45,320,18,66000,5,5,1994-04-01,鉄骨
440,18,640,22,118000,7,1,2006-12-01,RC
441,29,600,28,100000,8,5,2004-01-01,RC
442,99,760,28,73000,3,3,1991-04-01,鉄骨
443,16,920,17,75000,9,3,2004-10-01,鉄骨
444,10,600,50,156500,8,2,2011-02-01,RC
445,18,720,40,138000,11,7,1981-12-01,RC
446,59,800,44,140000,5,1,1996-03-01,RC
447,35,1240,17,81500,8,5,2008-06-01,RC
448,32,1240,57,96000,4,1,1988-02-01,RC
449,100,480,17,77000,5,3,1991-02-01,RC
450,95,1640,42,68000,4,3,1988-05-01,鉄骨
451,48,600,34,114000,11,10,2005-05-01,RC
452,38,400,18,103000,12,6,1999-01-01,RC
453,69,520,32,68000,7,2,1968-03-01,RC
454,69,520,24,67000,4,2,1996-12-01,鉄骨
455,44,1120,34,70000,3,2,2002-10-01,RC
456,44,840,98,168000,5,1,1979-06-01,RC
457,44,2000,20,51000,5,4,1987-05-01,RC
458,85,800,13,67000,7,5,2001-11-01,鉄骨
459,9,760,26,118000,12,6,2016-03-01,RC
460,54,480,30,102000,7,6,2007-08-01,RC
461,37,520,23,80000,8,6,1988-02-01,RC
462,85,1000,45,125000,4,4,2017-10-01,RC
463,19,1240,38,85000,6,3,1973-03-01,RC
464,59,600,44,73000,3,2,1987-05-01,鉄骨
465,85,480,31,101000,7,3,2007-07-01,RC
466,52,680,23,70000,13,6,2004-05-01,RC
467,21,1520,22,74000,3,3,1990-06-01,鉄骨
468,65,120,56,168000,12,4,2006-03-01,RC
469,9,1120,70,204000,13,12,2016-02-01,RC
470,23,320,30,127000,3,3,1986-02-01,RC
471,46,400,24,73000,3,2,2001-12-01,鉄骨
472,20,320,53,153000,7,6,1968-09-01,RC
473,35,877,33,80000,5,2,1990-12-01,RC
474,2,840,36,132000,15,14,2006-01-01,RC
475,23,240,23,92000,6,5,1980-06-01,RC
476,85,960,16,90000,19,19,2007-10-01,RC
477,22,1160,28,63000,4,3,1991-05-01,鉄骨
478,21,520,26,80000,7,1,2006-11-01,RC
479,100,1160,31,77000,4,3,1990-01-01,鉄骨
480,96,760,29,91000,4,3,2012-03-01,鉄骨
481,30,360,22,77000,3,2,2011-05-01,鉄骨
482,83,400,19,74000,10,8,2007-08-01,RC
483,44,200,24,92000,7,6,1991-05-01,RC
484,35,600,33,82000,8,8,2002-08-01,RC
485,74,640,21,73000,6,2,2007-02-01,RC
486,19,1080,50,109000,7,5,1988-11-01,RC
487,44,1000,41,120000,3,2,1995-10-01,鉄骨
488,21,800,34,65000,3,1,1985-12-01,鉄骨
489,85,520,22,81000,4,1,2003-11-01,鉄骨
490,100,1160,26,78000,6,4,1986-12-01,RC
491,45,960,76,149000,5,2,2006-09-01,RC
492,38,720,11,63000,5,4,1987-07-01,RC
493,59,880,35,132000,3,3,1994-01-01,RC
494,6,360,41,169000,7,1,1998-05-01,RC
495,72,520,52,107000,4,4,1987-09-01,RC
496,16,600,20,72000,5,3,2001-12-01,RC
497,91,1640,78,110000,4,4,1990-12-01,RC
498,18,1000,91,196000,15,14,1991-05-01,RC
499,22,350,19,69000,3,2,2005-01-01,鉄骨
500,3,440,15,130500,10,3,2002-06-01,RC
501,20,600,26,80000,3,3,1965-08-01,RC
502,44,160,24,101000,3,3,1988-04-01,RC
503,3,520,14,145000,13,13,2004-10-01,RC
504,91,1320,34,88000,3,3,1988-03-01,RC
505,69,400,44,99000,13,6,1990-02-01,RC
506,69,280,13,69000,4,4,2005-08-01,鉄骨
507,2,880,22,96000,5,5,2011-12-01,RC
508,45,800,26,113000,6,2,1999-01-01,RC
509,45,960,29,94000,3,3,2006-04-01,鉄骨
510,52,280,51,100000,5,3,1988-01-01,RC
511,40,360,17,92000,11,4,1997-12-01,RC
512,19,800,96,133000,8,2,1983-07-01,RC
513,38,920,39,121000,4,2,2009-07-01,RC
514,1,1120,54,162000,15,8,2006-04-01,RC
515,72,440,19,85500,13,2,2013-10-01,RC
516,35,640,23,118000,11,6,2018-11-01,RC
517,59,1480,36,90000,7,5,1963-07-01,RC
518,36,119,30,110000,13,7,2007-01-01,RC
519,1,800,28,79000,14,3,1983-08-01,RC
520,5,160,21,96000,12,11,2000-08-01,RC
521,22,360,49,136600,7,3,2003-04-01,RC
522,18,560,28,116000,9,9,2010-05-01,RC
523,52,1600,13,32000,4,3,1992-03-01,RC
524,43,520,111,282000,3,3,1996-03-01,RC
525,16,1680,36,79000,3,2,1990-01-01,RC
526,59,1240,45,104000,6,5,1996-03-01,RC
527,90,360,23,140000,10,8,2020-11-01,RC
528,18,1200,72,189000,30,29,2010-08-01,RC
529,95,800,25,83000,3,3,1989-09-01,鉄骨
530,85,240,35,92000,8,3,2012-08-01,RC
531,69,360,23,61100,4,4,1968-05-01,RC
532,36,600,35,204000,11,8,2003-01-01,RC
533,22,440,14,70000,4,1,1994-12-01,RC
534,2,480,31,145000,3,1,1987-02-01,RC
535,48,480,18,85000,8,5,2001-07-01,RC
536,99,600,11,72000,5,4,1994-01-01,RC
537,18,640,21,71000,13,9,1979-10-01,RC
538,2,200,66,245000,32,9,2006-12-01,RC
539,72,400,25,89000,10,5,2016-06-01,RC
540,40,600,24,63000,5,4,1974-09-01,RC
541,12,1640,24,61000,3,2,1988-10-01,RC
