,犬,猫,ペンギン,イルカ,パンダ
user_103,,,5.0,3.0,3.0
user_104,,,5.0,4.0,5.0
user_105,,4.0,5.0,,5.0
user_106,5.0,,5.0,,1.0
user_107,3.0,5.0,5.0,,
user_108,5.0,,5.0,,5.0
user_109,5.0,,5.0,,
user_110,5.0,5.0,5.0,,
user_111,3.0,4.0,,,5.0
user_112,,2.0,4.0,,3.0
user_113,5.0,,,3.0,5.0
user_114,4.0,,,3.0,1.0
user_115,4.0,2.0,,,5.0
user_116,,5.0,3.0,2.0,5.0
user_117,,4.0,,5.0,4.0
user_118,,,4.0,2.0,
user_119,,3.0,2.0,,5.0
user_120,4.0,,5.0,4.0,
user_121,4.0,4.0,5.0,,5.0
user_122,,4.0,,4.0,
user_123,5.0,4.0,,,3.0
user_124,,,5.0,5.0,
user_125,,5.0,,,1.0
user_126,5.0,5.0,,,
user_127,,5.0,5.0,5.0,
user_128,1.0,3.0,5.0,,
user_129,5.0,4.0,5.0,,
user_130,5.0,4.0,4.0,5.0,2.0
user_131,,5.0,,,5.0
user_132,,5.0,5.0,,5.0
user_133,5.0,,4.0,3.0,
user_134,5.0,3.0,,,
user_135,,5.0,,5.0,5.0
user_136,3.0,3.0,5.0,5.0,
user_137,5.0,2.0,,,
user_138,4.0,5.0,,,5.0
user_139,,1.0,5.0,,5.0
user_140,5.0,,5.0,,5.0
user_141,4.0,,,3.0,5.0
user_142,3.0,4.0,5.0,,
user_143,5.0,5.0,5.0,,
user_144,5.0,5.0,,,1.0
user_145,4.0,4.0,,5.0,
user_146,3.0,3.0,3.0,,
user_147,4.0,5.0,,5.0,
user_148,,4.0,5.0,3.0,5.0
user_149,5.0,5.0,,5.0,
user_150,5.0,4.0,2.0,,
user_151,4.0,,,5.0,2.0
user_152,4.0,4.0,,,3.0
user_153,,5.0,5.0,,
user_154,5.0,5.0,4.0,,5.0
user_155,5.0,3.0,,4.0,3.0
user_156,5.0,,5.0,,
user_157,,5.0,,5.0,5.0
user_158,,,5.0,3.0,5.0
user_159,5.0,5.0,,,
user_160,3.0,,5.0,,
user_161,,5.0,,4.0,
user_162,4.0,,5.0,4.0,
user_163,,,5.0,5.0,5.0
user_164,,5.0,,4.0,
user_165,5.0,5.0,5.0,4.0,
user_166,5.0,1.0,,3.0,5.0
user_167,2.0,,5.0,3.0,5.0
user_168,,,5.0,,2.0
user_169,5.0,,5.0,5.0,
user_170,,5.0,5.0,5.0,
user_171,,4.0,,4.0,2.0
user_172,,,4.0,5.0,3.0
user_173,,5.0,4.0,2.0,5.0
user_174,4.0,,5.0,,1.0
user_175,5.0,,,1.0,1.0
user_176,,5.0,4.0,5.0,
user_177,,3.0,,,4.0
user_178,,,4.0,,5.0
user_179,5.0,,2.0,3.0,
user_180,4.0,,5.0,,5.0
user_181,5.0,5.0,,5.0,
user_182,4.0,3.0,,,4.0
user_183,1.0,5.0,4.0,,
user_184,5.0,4.0,,,
user_185,5.0,,5.0,5.0,
user_186,5.0,3.0,5.0,4.0,
user_187,5.0,5.0,,5.0,
user_188,4.0,5.0,,,3.0
user_189,4.0,5.0,,3.0,
user_190,5.0,,,,5.0
user_191,,5.0,,4.0,5.0
user_192,4.0,4.0,,4.0,
user_193,5.0,4.0,,,
user_194,5.0,5.0,,5.0,
user_195,,5.0,5.0,,
user_196,5.0,,5.0,,5.0
user_197,5.0,,4.0,4.0,
user_198,4.0,5.0,,5.0,
user_199,3.0,5.0,,,
user_200,1.0,,5.0,1.0,
user_201,5.0,,5.0,,
user_202,,,1.0,,1.0
user_203,,,4.0,4.0,5.0
user_204,,,3.0,4.0,4.0
user_205,4.0,2.0,,,
user_206,4.0,,4.0,,
user_207,,5.0,,1.0,5.0
user_208,,,5.0,5.0,5.0
user_209,5.0,4.0,5.0,,
user_210,3.0,,,,4.0
user_211,4.0,4.0,4.0,,
user_212,,4.0,,4.0,
user_213,4.0,,,,5.0
user_214,5.0,4.0,,4.0,3.0
user_215,5.0,,4.0,,5.0
user_216,,5.0,,3.0,
user_217,,,5.0,5.0,5.0
user_218,5.0,,,5.0,
user_219,,,5.0,5.0,
user_220,4.0,,2.0,,1.0
user_221,2.0,3.0,,,
user_222,5.0,4.0,,5.0,
user_223,5.0,1.0,,5.0,
user_224,5.0,5.0,,,2.0
user_225,3.0,2.0,,3.0,1.0
user_226,4.0,3.0,,3.0,
user_227,,,2.0,5.0,5.0
user_228,3.0,,5.0,4.0,
user_229,3.0,,,1.0,3.0
user_230,4.0,5.0,,4.0,
user_231,,2.0,,4.0,
user_232,,5.0,5.0,5.0,
user_233,5.0,5.0,5.0,,
user_234,,,5.0,1.0,5.0
user_235,5.0,4.0,5.0,,
user_236,,,4.0,4.0,3.0
user_237,,2.0,4.0,5.0,5.0
user_238,,,5.0,5.0,4.0
user_239,,,5.0,,2.0
user_240,3.0,5.0,,,
user_241,,5.0,5.0,,5.0
user_242,5.0,5.0,5.0,,5.0
user_243,,4.0,5.0,5.0,
user_244,5.0,5.0,,,5.0
user_245,3.0,,5.0,5.0,
user_246,,5.0,,5.0,
user_247,,4.0,4.0,,
user_248,5.0,5.0,,,
user_249,5.0,4.0,,4.0,
user_250,5.0,,2.0,5.0,
user_251,,4.0,5.0,,1.0
user_252,4.0,5.0,,4.0,
user_253,5.0,4.0,5.0,,
user_254,3.0,1.0,,4.0,
user_255,4.0,4.0,,,3.0
user_256,5.0,5.0,5.0,,
user_257,,,,5.0,5.0
user_258,1.0,1.0,2.0,,
user_259,5.0,,,3.0,4.0
user_260,5.0,,5.0,5.0,
user_261,4.0,,3.0,4.0,
user_262,5.0,,,5.0,3.0
user_263,5.0,5.0,,4.0,
user_264,5.0,5.0,5.0,,
user_265,1.0,,5.0,2.0,
user_266,5.0,5.0,,,
user_267,5.0,,,4.0,
user_268,,5.0,5.0,3.0,
user_269,,5.0,5.0,,2.0
user_270,3.0,3.0,,5.0,
user_271,,5.0,,5.0,5.0
user_272,3.0,,,,4.0
user_273,4.0,5.0,5.0,,
user_274,3.0,,5.0,,5.0
user_275,3.0,5.0,4.0,,
user_276,5.0,,,,5.0
user_277,4.0,,,4.0,5.0
user_278,,3.0,,5.0,4.0
user_279,5.0,,5.0,5.0,
user_280,5.0,,,5.0,
user_281,4.0,3.0,,5.0,5.0
user_282,,5.0,,1.0,
user_283,4.0,4.0,,,5.0
user_284,,5.0,5.0,4.0,
user_285,,5.0,2.0,,5.0
user_286,,4.0,,3.0,5.0
user_287,5.0,5.0,,5.0,
user_288,4.0,,2.0,,4.0
user_289,5.0,5.0,,4.0,4.0
user_290,3.0,2.0,2.0,,
user_291,,2.0,4.0,,1.0
user_292,,5.0,5.0,3.0,
user_293,4.0,,,,1.0
user_294,,,5.0,4.0,
user_295,3.0,,5.0,4.0,
user_296,1.0,,5.0,,5.0
user_297,3.0,5.0,5.0,,
user_298,,1.0,,5.0,5.0
user_299,4.0,,5.0,3.0,
user_300,,3.0,5.0,5.0,
user_301,,,5.0,4.0,3.0
user_302,,5.0,1.0,,
user_303,,,,4.0,5.0
user_304,,4.0,5.0,4.0,
user_305,5.0,,,,5.0
user_306,3.0,4.0,,,
user_307,,4.0,,5.0,
user_308,,,4.0,4.0,2.0
user_309,5.0,5.0,,5.0,
user_310,,3.0,5.0,,5.0
user_311,5.0,4.0,3.0,,5.0
user_312,,,5.0,4.0,5.0
user_313,5.0,4.0,,5.0,
user_314,2.0,,5.0,,1.0
user_315,4.0,,5.0,,
user_316,,,4.0,5.0,2.0
user_317,5.0,4.0,3.0,,
user_318,5.0,,,5.0,5.0
user_319,,4.0,3.0,,5.0
user_320,,4.0,5.0,5.0,
user_321,,,,5.0,5.0
user_322,,,5.0,4.0,
user_323,4.0,2.0,5.0,,
user_324,5.0,5.0,,5.0,3.0
user_325,1.0,,,3.0,5.0
user_326,,5.0,,5.0,
user_327,,4.0,5.0,4.0,
user_328,,,5.0,4.0,5.0
user_329,,5.0,4.0,,
user_330,5.0,,,4.0,
user_331,5.0,,,,1.0
user_332,4.0,,,5.0,4.0
user_333,,,,5.0,5.0
user_334,5.0,,4.0,,
user_335,3.0,,3.0,3.0,2.0
user_336,,,5.0,5.0,
user_337,,,,2.0,2.0
user_338,2.0,,4.0,,5.0
user_339,,5.0,5.0,,
user_340,,4.0,,3.0,
user_341,,5.0,4.0,,
user_342,3.0,,5.0,5.0,
user_343,,,,1.0,5.0
user_344,,1.0,2.0,5.0,
user_345,5.0,5.0,,,2.0
user_346,,,4.0,4.0,4.0
user_347,,3.0,5.0,5.0,
user_348,5.0,,3.0,,1.0
user_349,3.0,5.0,,4.0,
user_350,,5.0,5.0,,
user_351,,4.0,5.0,5.0,
user_352,,,4.0,,5.0
user_353,,,3.0,4.0,4.0
user_354,,3.0,,,5.0
user_355,4.0,,,3.0,
user_356,4.0,,4.0,,
user_357,5.0,4.0,5.0,,
user_358,,5.0,5.0,5.0,
user_359,,,5.0,3.0,4.0
user_360,,,5.0,3.0,1.0
user_361,3.0,,5.0,2.0,
user_362,,5.0,,5.0,
user_363,,5.0,5.0,5.0,
user_364,,5.0,5.0,1.0,
user_365,5.0,5.0,,,4.0
user_366,4.0,3.0,,,4.0
user_367,,,5.0,,5.0
user_368,3.0,2.0,,,1.0
user_369,5.0,5.0,,,
user_370,,,,5.0,5.0
user_371,,5.0,,2.0,
user_372,,3.0,,5.0,1.0
user_373,4.0,4.0,,,
user_374,3.0,,5.0,,1.0
user_375,3.0,5.0,3.0,,
user_376,,1.0,,3.0,4.0
user_377,5.0,,5.0,3.0,1.0
user_378,,5.0,4.0,5.0,
user_379,,5.0,5.0,3.0,
user_380,5.0,5.0,,5.0,
user_381,5.0,,,4.0,4.0
user_382,5.0,,5.0,5.0,
user_383,,,,4.0,5.0
user_384,3.0,2.0,,4.0,
user_385,4.0,1.0,,3.0,3.0
user_386,,5.0,,,5.0
user_387,,,5.0,2.0,2.0
user_388,5.0,,,2.0,
user_389,1.0,,4.0,,
user_390,,5.0,,,5.0
user_391,,5.0,,2.0,5.0
user_392,,4.0,,4.0,
user_393,5.0,5.0,5.0,5.0,
user_394,,5.0,,5.0,3.0
user_395,3.0,,3.0,,3.0
user_396,4.0,,,3.0,1.0
user_397,5.0,4.0,,5.0,5.0
user_398,,4.0,5.0,,
user_399,5.0,5.0,,2.0,
user_400,4.0,,3.0,,1.0
user_401,5.0,1.0,,,
user_402,5.0,,4.0,,
user_403,5.0,4.0,5.0,4.0,
user_404,4.0,5.0,5.0,4.0,
user_405,,1.0,5.0,5.0,
user_406,5.0,1.0,,,
user_407,4.0,1.0,,4.0,
user_408,5.0,,,,4.0
user_409,,,5.0,,4.0
user_410,3.0,,4.0,5.0,
user_411,3.0,,,,5.0
user_412,2.0,,5.0,3.0,5.0
user_413,,5.0,,5.0,
user_414,,5.0,4.0,,5.0
user_415,,4.0,4.0,5.0,
user_416,3.0,,,4.0,4.0
user_417,,4.0,5.0,5.0,
user_418,5.0,,,5.0,
user_419,,4.0,5.0,4.0,
user_420,5.0,,5.0,,4.0
user_421,3.0,,4.0,4.0,
user_422,4.0,,5.0,,4.0
user_423,,5.0,,4.0,5.0
user_424,,5.0,,,5.0
user_425,,,4.0,,5.0
user_426,,,5.0,,5.0
user_427,,5.0,,2.0,
user_428,5.0,3.0,,,
user_429,,,1.0,,1.0
user_430,5.0,,5.0,5.0,
user_431,5.0,,,4.0,5.0
user_432,3.0,5.0,,5.0,
user_433,,2.0,,4.0,3.0
user_434,,3.0,,2.0,
user_435,,4.0,,,4.0
user_436,5.0,,,3.0,3.0
user_437,,3.0,,5.0,
user_438,5.0,4.0,,,
user_439,,,5.0,,1.0
user_440,,,,4.0,5.0
user_441,5.0,,,4.0,
user_442,3.0,,,5.0,3.0
user_443,5.0,5.0,,5.0,
user_444,4.0,,5.0,,
user_445,,,5.0,,5.0
user_446,,5.0,,,4.0
user_447,,5.0,,3.0,3.0
user_448,5.0,,,,2.0
user_449,5.0,,4.0,4.0,
user_450,3.0,1.0,,,
user_451,,,5.0,3.0,3.0
user_452,4.0,5.0,,,5.0
user_453,,,4.0,4.0,
user_454,5.0,2.0,,,1.0
user_455,,2.0,,5.0,5.0
user_456,,,5.0,,5.0
user_457,5.0,3.0,2.0,5.0,3.0
user_458,5.0,4.0,3.0,,
user_459,5.0,3.0,,5.0,
user_460,,5.0,5.0,5.0,
user_461,,,4.0,5.0,5.0
user_462,5.0,,,2.0,
user_463,5.0,,5.0,,
user_464,4.0,,5.0,3.0,
user_465,5.0,5.0,,5.0,
user_466,5.0,,,4.0,5.0
user_467,,,4.0,,5.0
user_468,4.0,4.0,2.0,,
user_469,5.0,5.0,,3.0,
user_470,,,,2.0,1.0
user_471,3.0,5.0,,,
user_472,5.0,5.0,5.0,,
user_473,,3.0,,3.0,4.0
user_474,5.0,,,,1.0
user_475,5.0,5.0,3.0,,3.0
user_476,4.0,5.0,,2.0,
user_477,5.0,5.0,,,5.0
user_478,5.0,5.0,,,1.0
user_479,4.0,,,3.0,3.0
user_480,,5.0,5.0,5.0,
user_481,5.0,2.0,5.0,,
user_482,,,5.0,4.0,5.0
user_483,,5.0,5.0,5.0,
user_484,,3.0,5.0,,4.0
user_485,,5.0,,5.0,5.0
user_486,5.0,,2.0,2.0,1.0
user_487,,3.0,4.0,,5.0
user_488,,4.0,,,5.0
user_489,4.0,1.0,,1.0,
user_490,5.0,,5.0,4.0,
user_491,4.0,,,5.0,
user_492,,5.0,3.0,4.0,
user_493,3.0,4.0,4.0,,
user_494,4.0,,,4.0,5.0
user_495,5.0,,,5.0,5.0
user_496,5.0,1.0,,,1.0
user_497,5.0,3.0,,5.0,
user_498,3.0,,4.0,4.0,
user_499,,,4.0,3.0,
user_500,,3.0,,4.0,
user_501,5.0,5.0,,,4.0
user_502,2.0,,5.0,5.0,
user_503,5.0,5.0,,,5.0
user_504,,3.0,,5.0,3.0
user_505,5.0,,,5.0,5.0
user_506,5.0,5.0,,,5.0
user_507,4.0,5.0,4.0,4.0,
user_508,4.0,,4.0,3.0,
user_509,4.0,,,2.0,
user_510,4.0,3.0,,3.0,
user_511,,5.0,,5.0,
user_512,,4.0,4.0,,4.0
user_513,5.0,,,,5.0
user_514,,5.0,5.0,,3.0
user_515,,4.0,5.0,4.0,
user_516,2.0,5.0,4.0,,
user_517,,5.0,,,5.0
user_518,,5.0,,5.0,5.0
user_519,4.0,,4.0,4.0,
user_520,,4.0,4.0,,5.0
user_521,5.0,5.0,5.0,,
user_522,,,4.0,3.0,4.0
user_523,5.0,,4.0,,1.0
user_524,5.0,1.0,,5.0,
user_525,5.0,,5.0,,
user_526,5.0,5.0,,3.0,2.0
user_527,4.0,,4.0,,
user_528,3.0,,2.0,,
user_529,4.0,4.0,4.0,,
user_530,,,5.0,5.0,
user_531,,,,3.0,1.0
user_532,3.0,5.0,5.0,,3.0
user_533,,5.0,5.0,,
user_534,1.0,5.0,,2.0,
user_535,5.0,,5.0,,
user_536,5.0,,5.0,,
user_537,3.0,,4.0,3.0,
user_538,4.0,5.0,,,
user_539,5.0,5.0,3.0,,5.0
user_540,4.0,3.0,,,5.0
user_541,1.0,5.0,5.0,,
user_542,,1.0,,3.0,1.0
user_543,,5.0,5.0,,5.0
user_544,,5.0,4.0,,5.0
user_545,5.0,5.0,5.0,,
user_546,,2.0,5.0,5.0,
user_547,4.0,5.0,,2.0,5.0
user_548,,4.0,4.0,,
user_549,,,3.0,,5.0
user_550,5.0,5.0,,5.0,
user_551,5.0,,5.0,,
user_552,,5.0,5.0,1.0,
user_553,5.0,5.0,,5.0,
user_554,4.0,5.0,5.0,,5.0
user_555,,,5.0,5.0,1.0
user_556,5.0,,5.0,,5.0
user_557,3.0,,3.0,,2.0
user_558,5.0,4.0,,5.0,
user_559,3.0,,4.0,,5.0
user_560,,5.0,,5.0,1.0
user_561,5.0,5.0,,5.0,5.0
user_562,4.0,5.0,5.0,4.0,
user_563,4.0,5.0,3.0,,2.0
user_564,4.0,,,5.0,3.0
user_565,4.0,,4.0,,
user_566,3.0,,5.0,,1.0
user_567,3.0,,4.0,4.0,
user_568,3.0,4.0,5.0,,5.0
user_569,4.0,,,3.0,5.0
user_570,,5.0,,5.0,
user_571,5.0,,5.0,,1.0
user_572,,2.0,,,3.0
user_573,5.0,3.0,,5.0,
user_574,4.0,,,,5.0
user_575,5.0,,,5.0,5.0
user_576,5.0,,,5.0,
user_577,5.0,5.0,5.0,5.0,5.0
user_578,5.0,,3.0,3.0,
user_579,,,3.0,,5.0
user_580,,,5.0,,5.0
user_581,,4.0,3.0,5.0,5.0
user_582,5.0,4.0,,4.0,
user_583,4.0,5.0,,,5.0
user_584,3.0,5.0,5.0,,
user_585,,5.0,5.0,5.0,
user_586,5.0,,5.0,4.0,5.0
user_587,,,,4.0,2.0
user_588,4.0,5.0,,,5.0
user_589,3.0,5.0,,4.0,
user_590,4.0,,2.0,,1.0
user_591,,,5.0,,5.0
user_592,,,4.0,3.0,
user_593,5.0,5.0,,,
user_594,5.0,,5.0,,3.0
user_595,,,,4.0,1.0
user_596,4.0,,3.0,3.0,
user_597,,,,5.0,5.0
user_598,5.0,5.0,5.0,,
user_599,,4.0,4.0,5.0,
user_600,4.0,2.0,,,
user_601,3.0,,5.0,4.0,
user_602,4.0,,,4.0,
user_603,4.0,5.0,,5.0,
user_604,4.0,4.0,4.0,,
user_605,,,,5.0,4.0
user_606,3.0,3.0,4.0,,
user_607,,5.0,,,5.0
user_608,5.0,1.0,,,1.0
user_609,3.0,,,,4.0
user_610,5.0,2.0,,5.0,
user_611,,3.0,,5.0,1.0
user_612,,4.0,5.0,,5.0
user_613,5.0,1.0,4.0,2.0,
user_614,4.0,,,,1.0
user_615,,1.0,,5.0,
user_616,,2.0,1.0,2.0,
user_617,2.0,4.0,5.0,5.0,
user_618,5.0,,,5.0,5.0
user_619,5.0,,,,5.0
user_620,5.0,,5.0,,
user_621,4.0,,,3.0,1.0
user_622,,2.0,4.0,,5.0
user_623,,5.0,4.0,,4.0
user_624,5.0,5.0,,,
user_625,,2.0,,4.0,2.0
user_626,5.0,5.0,,,1.0
user_627,4.0,,5.0,,
user_628,,,5.0,5.0,5.0
user_629,5.0,,,3.0,5.0
user_630,5.0,,4.0,,2.0
user_631,4.0,,,2.0,
user_632,,5.0,5.0,,
user_633,4.0,,,3.0,
user_634,,2.0,,,5.0
user_635,5.0,5.0,,4.0,
user_636,5.0,5.0,,4.0,
user_637,1.0,,4.0,,4.0
user_638,4.0,5.0,,5.0,
user_639,,1.0,5.0,,1.0
user_640,,5.0,,4.0,
user_641,5.0,,5.0,,2.0
user_642,5.0,5.0,,1.0,5.0
user_643,,,5.0,5.0,5.0
user_644,,5.0,5.0,,5.0
user_645,,4.0,4.0,3.0,
user_646,5.0,5.0,4.0,,
user_647,,5.0,,4.0,5.0
user_648,5.0,5.0,,,3.0
user_649,5.0,,5.0,,2.0
user_650,,,5.0,4.0,1.0
user_651,4.0,5.0,,,4.0
user_652,,5.0,,,1.0
user_653,,5.0,5.0,5.0,
user_654,,5.0,,,5.0
user_655,4.0,1.0,,5.0,3.0
user_656,5.0,5.0,5.0,,
user_657,,5.0,,2.0,3.0
user_658,,,4.0,3.0,4.0
user_659,5.0,3.0,,3.0,
user_660,,,,3.0,5.0
user_661,5.0,5.0,5.0,5.0,
user_662,,,4.0,5.0,3.0
user_663,3.0,,5.0,5.0,
user_664,,2.0,4.0,,1.0
user_665,4.0,,5.0,3.0,
user_666,5.0,,,3.0,5.0
user_667,,,5.0,5.0,
user_668,3.0,,,5.0,
user_669,,5.0,,4.0,
user_670,5.0,,,,1.0
user_671,5.0,,,4.0,
user_672,,5.0,5.0,,1.0
user_673,4.0,,5.0,2.0,
user_674,4.0,,,5.0,
user_675,5.0,,,5.0,5.0
user_676,4.0,,,,3.0
user_677,,4.0,,5.0,4.0
user_678,,2.0,5.0,,
user_679,,4.0,1.0,1.0,
user_680,,,5.0,3.0,
user_681,3.0,4.0,,,4.0
user_682,3.0,4.0,,,5.0
user_683,,5.0,4.0,,
user_684,,5.0,2.0,,
user_685,,,5.0,,1.0
user_686,,,5.0,2.0,5.0
user_687,5.0,5.0,,,1.0
user_688,,,5.0,5.0,1.0
user_689,5.0,5.0,5.0,,5.0
user_690,5.0,,,1.0,5.0
user_691,4.0,4.0,,,2.0
user_692,,5.0,,5.0,3.0
user_693,,5.0,,2.0,5.0
user_694,,5.0,5.0,,4.0
user_695,,3.0,5.0,5.0,
user_696,5.0,,,2.0,1.0
user_697,5.0,,,3.0,3.0
user_698,,2.0,4.0,,
user_699,,5.0,,3.0,
user_700,4.0,,,3.0,3.0
user_701,3.0,,,4.0,5.0
user_702,3.0,5.0,5.0,,4.0
user_703,5.0,,,5.0,5.0
user_704,3.0,4.0,,,
user_705,5.0,,5.0,4.0,
user_706,5.0,,,,5.0
user_707,5.0,5.0,,4.0,
user_708,5.0,2.0,,,
user_709,3.0,,2.0,4.0,
user_710,,2.0,,5.0,1.0
user_711,5.0,,5.0,4.0,5.0
user_712,4.0,,5.0,,
user_713,,1.0,,4.0,
user_714,,,5.0,2.0,
user_715,4.0,,,5.0,
user_716,5.0,,5.0,5.0,
user_717,4.0,,,4.0,
user_718,5.0,3.0,,,
user_719,,4.0,5.0,2.0,
user_720,2.0,,,5.0,3.0
user_721,,,3.0,2.0,5.0
user_722,4.0,,4.0,,3.0
user_723,5.0,,5.0,5.0,
user_724,5.0,,,5.0,3.0
user_725,,4.0,,5.0,5.0
user_726,,4.0,,4.0,5.0
user_727,5.0,,5.0,5.0,5.0
user_728,,5.0,,5.0,1.0
user_729,5.0,5.0,,1.0,
user_730,,3.0,,5.0,5.0
user_731,5.0,2.0,,,
user_732,,1.0,4.0,,5.0
user_733,,3.0,5.0,,5.0
user_734,4.0,4.0,,3.0,
user_735,3.0,5.0,4.0,,5.0
user_736,4.0,5.0,,,5.0
user_737,5.0,,,5.0,
user_738,4.0,,4.0,5.0,
user_739,3.0,3.0,,4.0,
user_740,5.0,3.0,,4.0,
user_741,4.0,,,4.0,5.0
user_742,5.0,3.0,,5.0,
user_743,,,5.0,2.0,5.0
user_744,5.0,,,5.0,3.0
user_745,,2.0,5.0,2.0,
user_746,4.0,,4.0,,5.0
user_747,3.0,2.0,4.0,,
user_748,5.0,4.0,5.0,4.0,
user_749,4.0,,5.0,,5.0
user_750,,5.0,5.0,2.0,
user_751,5.0,,,,5.0
user_752,,3.0,5.0,2.0,
user_753,4.0,4.0,4.0,,
user_754,,,5.0,,5.0
user_755,,,3.0,3.0,5.0
user_756,5.0,5.0,5.0,,
user_757,,5.0,,3.0,1.0
user_758,,,5.0,5.0,5.0
user_759,,5.0,4.0,4.0,
user_760,,3.0,,,5.0
user_761,,5.0,,2.0,4.0
user_762,4.0,3.0,,,4.0
user_763,4.0,5.0,,5.0,
user_764,,5.0,,5.0,5.0
user_765,,3.0,,5.0,3.0
user_766,,,,3.0,1.0
user_767,,5.0,,4.0,2.0
user_768,3.0,,4.0,5.0,
user_769,,4.0,5.0,4.0,
user_770,5.0,4.0,,,
user_771,,1.0,5.0,,
user_772,5.0,,3.0,,3.0
user_773,1.0,5.0,,3.0,
user_774,,,5.0,2.0,
user_775,,,5.0,3.0,3.0
user_776,4.0,4.0,,5.0,2.0
user_777,,,,5.0,5.0
user_778,,,4.0,4.0,
user_779,3.0,,5.0,,4.0
user_780,4.0,5.0,4.0,,2.0
user_781,4.0,,,4.0,5.0
user_782,,3.0,5.0,,
user_783,4.0,,5.0,,4.0
user_784,,,5.0,2.0,3.0
user_785,,5.0,,5.0,
user_786,,5.0,5.0,3.0,
user_787,,5.0,5.0,5.0,5.0
user_788,2.0,5.0,,,
user_789,4.0,4.0,,,4.0
user_790,,1.0,5.0,5.0,
user_791,5.0,5.0,4.0,,
user_792,4.0,,5.0,5.0,
user_793,5.0,3.0,,,4.0
user_794,4.0,1.0,,5.0,5.0
user_795,2.0,4.0,5.0,,
user_796,5.0,,,3.0,2.0
user_797,,,4.0,,5.0
user_798,,,5.0,,5.0
user_799,4.0,,4.0,,3.0
user_800,,2.0,,5.0,1.0
user_801,,3.0,3.0,,3.0
user_802,,,4.0,1.0,
user_803,,2.0,,,5.0
user_804,4.0,4.0,,,
user_805,4.0,,5.0,5.0,
